0,HC,S001,100,2025-01-05T08:12:34.123456
1,HC,H001,50,2025-01-07T14:22:45.234567
0,FS,S002,100,2025-01-12T19:30:56.345678
1,FS,H002,70,2025-01-18T11:45:12.456789
0,MS,S001,100,2025-01-22T16:55:23.567890
1,MS,H003,60,2025-01-25T09:15:34.678901
0,GL,S003,100,2025-02-02T07:25:45.789012
1,GL,H001,80,2025-02-08T13:35:56.890123
0,GW,S002,100,2025-02-14T20:45:07.901234
1,GW,H002,90,2025-02-17T10:55:18.012345
0,SC,S003,100,2025-02-19T17:05:29.123456
1,SC,H003,40,2025-02-23T22:15:30.234567
0,HC,S001,150,2025-03-01T05:25:41.345678
1,HC,H003,100,2025-03-04T12:35:52.456789
0,FS,S002,130,2025-03-07T18:45:03.567890
1,FS,H002,110,2025-03-10T23:55:14.678901
0,MS,S001,140,2025-03-13T06:05:25.789012
1,MS,H001,90,2025-03-16T09:15:36.890123
0,GL,S003,120,2025-03-19T15:25:47.901234
1,GL,H002,70,2025-03-22T21:35:58.012345
0,GW,S002,110,2025-01-08T04:45:09.123456
1,GW,H003,60,2025-01-11T10:55:20.234567
0,SC,S003,100,2025-01-14T16:05:31.345678
1,SC,H001,50,2025-01-21T19:15:42.456789
0,HC,S001,200,2025-02-03T08:25:53.567890
1,HC,H002,150,2025-02-09T14:35:04.678901
0,FS,S002,180,2025-02-15T20:45:15.789012
1,FS,H003,130,2025-02-18T22:55:26.890123
0,MS,S001,150,2025-02-24T05:05:37.901234
1,MS,H002,100,2025-02-27T11:15:48.012345
0,GL,S003,170,2025-03-05T17:25:59.123456
1,GL,H001,120,2025-03-08T23:35:10.234567
0,GW,S002,160,2025-03-12T06:45:21.345678
1,GW,H002,110,2025-03-14T12:55:32.456789
0,SC,S003,140,2025-03-17T18:05:43.567890
1,SC,H003,90,2025-03-20T00:15:54.678901
0,HC,S001,190,2025-01-06T09:25:05.789012
1,HC,H001,140,2025-01-09T15:35:16.890123
0,FS,S002,210,2025-01-16T21:45:27.901234
1,FS,H002,160,2025-01-23T03:55:38.012345
0,MS,S001,180,2025-01-28T10:05:49.123456
1,MS,H003,130,2025-02-04T16:15:50.234567
0,GL,S003,200,2025-02-10T22:25:01.345678
1,GL,H002,150,2025-02-13T04:35:12.456789
0,GW,S002,170,2025-02-20T11:45:23.567890
1,GW,H003,120,2025-02-25T17:55:34.678901
0,SC,S003,190,2025-03-02T00:05:45.789012
1,SC,H001,140,2025-03-06T06:15:56.890123
0,HC,S001,230,2025-03-09T12:25:07.901234
1,HC,H002,180,2025-03-21T18:35:18.0123450
1,HC,H003,100,2025-03-15T15:50:23.8827931
0,HC,S001,50,2025-03-16T20:22:57.2401592
1,HC,H002,50,2025-03-16T20:34:39.0072964
